president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp,idate,dop
Donald Trump,Adults,42829,40.50948,45.69217,35.32678,53.39999,59.1553,47.64467,4/4/17,20/1/17,74
Donald Trump,Adults,42798,39.61414,44.69081,34.53746,53.89282,59.91079,47.87486,3/4/17,20/1/17,73
Donald Trump,Adults,42770,40.39359,45.16575,35.62142,53.45893,59.59847,47.31939,2/4/17,20/1/17,72
Donald Trump,Adults,42739,40.55445,45.26672,35.84218,53.32457,59.41961,47.22953,1/4/17,20/1/17,71
Donald Trump,Adults,3/31/2017,40.448,45.17403,35.72196,53.2771,59.34482,47.20937,31/3/17,20/1/17,70
Donald Trump,Adults,3/30/2017,40.11081,44.79861,35.42301,54.028,59.98937,48.06663,30/3/17,20/1/17,69
Donald Trump,Adults,3/29/2017,40.54865,45.12926,35.96804,52.65205,58.12233,47.18176,29/3/17,20/1/17,68
Donald Trump,Adults,3/28/2017,40.6702,45.40951,35.93089,52.81675,58.3959,47.2376,28/3/17,20/1/17,67
Donald Trump,Adults,3/27/2017,41.03792,46.03124,36.0446,52.65294,58.45473,46.85114,27/3/17,20/1/17,66
Donald Trump,Adults,3/26/2017,41.43587,46.2299,36.64183,52.38198,58.08395,46.68002,26/3/17,20/1/17,65
Donald Trump,Adults,3/25/2017,41.53386,46.28392,36.78381,52.38558,58.0583,46.71286,25/3/17,20/1/17,64
Donald Trump,Adults,3/24/2017,41.54422,46.26891,36.81953,52.38712,58.03065,46.74358,24/3/17,20/1/17,63
Donald Trump,Adults,3/23/2017,41.48011,45.96347,36.99674,52.1105,57.37497,46.84602,23/3/17,20/1/17,62
Donald Trump,Adults,3/22/2017,41.60312,46.0286,37.17764,51.97084,57.16357,46.77811,22/3/17,20/1/17,61
Donald Trump,Adults,3/21/2017,41.38521,45.94193,36.8285,52.85176,58.01113,47.6924,21/3/17,20/1/17,60
Donald Trump,Adults,3/20/2017,41.57674,46.22869,36.9248,52.50675,57.73434,47.27915,20/3/17,20/1/17,59
Donald Trump,Adults,3/19/2017,41.53395,46.20824,36.85967,52.66131,57.92685,47.39578,19/3/17,20/1/17,58
Donald Trump,Adults,3/18/2017,41.87791,46.41851,37.33731,52.33651,57.45996,47.21305,18/3/17,20/1/17,57
Donald Trump,Adults,3/17/2017,42.80822,46.93233,38.6841,51.36173,56.22272,46.50073,17/3/17,20/1/17,56
Donald Trump,Adults,3/16/2017,43.24698,47.57337,38.92059,51.14386,56.14853,46.13919,16/3/17,20/1/17,55
Donald Trump,Adults,3/15/2017,43.43536,47.89869,38.97202,49.8028,54.29678,45.30881,15/3/17,20/1/17,54
Donald Trump,Adults,3/14/2017,43.82244,48.24846,39.39643,49.54628,54.1033,44.98926,14/3/17,20/1/17,53
Donald Trump,Adults,3/13/2017,44.10419,48.49052,39.71787,48.99449,53.57737,44.41162,13/3/17,20/1/17,52
Donald Trump,Adults,3/12/17,44.32833,48.67724,39.97943,48.88358,53.44093,44.32623,12/3/17,20/1/17,51
Donald Trump,Adults,3/11/17,44.2165,48.54074,39.89226,48.96644,53.50496,44.42792,11/3/17,20/1/17,50
Donald Trump,Adults,3/10/17,43.9422,48.24376,39.64064,49.21457,53.79547,44.63366,10/3/17,20/1/17,49
Donald Trump,Adults,3/9/17,43.41724,47.52428,39.3102,49.70358,54.20479,45.20238,9/3/17,20/1/17,48
Donald Trump,Adults,3/8/17,43.52806,47.62445,39.43167,49.65459,54.15749,45.15169,8/3/17,20/1/17,47
Donald Trump,Adults,3/7/17,43.68052,47.77182,39.58922,49.24304,53.76972,44.71636,7/3/17,20/1/17,46
Donald Trump,Adults,3/6/17,43.51528,47.50908,39.52149,49.41735,53.87724,44.95747,6/3/17,20/1/17,45
Donald Trump,Adults,3/5/17,43.00411,47.25905,38.74918,50.26909,54.7504,45.78778,5/3/17,20/1/17,44
Donald Trump,Adults,3/4/17,42.9674,47.17238,38.76241,50.43211,54.88548,45.97874,4/3/17,20/1/17,43
Donald Trump,Adults,3/3/17,42.9674,47.17238,38.76241,50.43211,54.88548,45.97874,3/3/17,20/1/17,42
Donald Trump,Adults,3/2/17,42.74433,46.98483,38.50384,50.39036,54.90135,45.87937,2/3/17,20/1/17,41
Donald Trump,Adults,3/1/17,42.93229,47.20044,38.66414,50.10905,54.72215,45.49596,1/3/17,20/1/17,40
Donald Trump,Adults,2/28/2017,41.92185,46.14059,37.7031,50.75521,55.67918,45.83124,28/2/17,20/1/17,39
Donald Trump,Adults,2/27/2017,41.93449,46.13142,37.73755,50.65856,55.54948,45.76763,27/2/17,20/1/17,38
Donald Trump,Adults,2/26/2017,41.86868,46.0538,37.68355,50.54937,55.40913,45.68962,26/2/17,20/1/17,37
Donald Trump,Adults,2/25/2017,41.93456,46.09764,37.77147,50.34444,55.17621,45.51268,25/2/17,20/1/17,36
Donald Trump,Adults,2/24/2017,42.13914,46.28004,37.99824,50.20037,55.015,45.38575,24/2/17,20/1/17,35
Donald Trump,Adults,2/23/2017,42.08851,46.23182,37.94521,50.09972,54.93006,45.26939,23/2/17,20/1/17,34
Donald Trump,Adults,2/22/2017,40.99014,45.27751,36.70276,51.52739,56.48182,46.57297,22/2/17,20/1/17,33
Donald Trump,Adults,2/21/2017,41.4049,45.76923,37.04057,51.92768,57.05551,46.79984,21/2/17,20/1/17,32
Donald Trump,Adults,2/20/2017,41.1068,45.60037,36.61324,52.24264,57.46707,47.01821,20/2/17,20/1/17,31
Donald Trump,Adults,2/19/2017,41.1262,45.72119,36.53122,52.34517,57.59246,47.09787,19/2/17,20/1/17,30
Donald Trump,Adults,2/18/2017,41.14259,45.75518,36.52999,52.61021,57.82709,47.39334,18/2/17,20/1/17,29
Donald Trump,Adults,2/17/2017,40.93276,45.58841,36.27711,52.55815,57.6859,47.4304,17/2/17,20/1/17,28
Donald Trump,Adults,2/16/2017,41.26061,45.85092,36.6703,52.20712,57.25517,47.15907,16/2/17,20/1/17,27
Donald Trump,Adults,2/15/2017,41.3626,45.92407,36.80114,52.01312,57.00552,47.02072,15/2/17,20/1/17,26
Donald Trump,Adults,2/14/2017,41.01787,45.69108,36.34466,52.47426,57.35436,47.59416,14/2/17,20/1/17,25
Donald Trump,Adults,2/13/2017,41.11952,45.75837,36.48067,52.40815,57.20925,47.60704,13/2/17,20/1/17,24
Donald Trump,Adults,2/12/17,41.98624,46.78743,37.18506,50.62114,55.42233,45.81996,12/2/17,20/1/17,23
Donald Trump,Adults,2/11/17,42.17884,46.93204,37.42564,50.29835,55.05155,45.54515,11/2/17,20/1/17,22
Donald Trump,Adults,2/10/17,42.33272,47.04307,37.62237,50.14452,54.85487,45.43417,10/2/17,20/1/17,21
Donald Trump,Adults,2/9/17,42.45341,47.12389,37.78294,50.05256,54.72303,45.38208,9/2/17,20/1/17,20
Donald Trump,Adults,2/8/17,42.46727,47.10171,37.83284,49.95639,54.59083,45.32195,8/2/17,20/1/17,19
Donald Trump,Adults,2/7/17,42.58524,47.25029,37.92019,49.79887,54.46392,45.13382,7/2/17,20/1/17,18
Donald Trump,Adults,2/6/17,42.62589,47.259,37.99279,49.48686,54.11996,44.85376,6/2/17,20/1/17,17
Donald Trump,Adults,2/5/17,42.7303,47.35865,38.10196,49.04629,53.67463,44.41794,5/2/17,20/1/17,16
Donald Trump,Adults,2/4/17,42.93061,47.52776,38.33346,48.55542,53.15257,43.95826,4/2/17,20/1/17,15
Donald Trump,Adults,2/3/17,42.87061,47.47776,38.26346,48.63497,53.24212,44.02782,3/2/17,20/1/17,14
Donald Trump,Adults,2/2/17,43.76831,48.71731,38.81931,45.22588,50.17488,40.27688,2/2/17,20/1/17,13
Donald Trump,Adults,2/1/17,43.7891,48.70733,38.87086,44.59832,49.51656,39.68008,1/2/17,20/1/17,12
Donald Trump,Adults,1-31-2017,43.67982,48.68051,38.67913,43.60509,48.60578,38.6044,31/1/17,20/1/17,11
Donald Trump,Adults,1/30/2017,42.51344,47.69931,37.32757,41.65466,46.84053,36.46879,30/1/17,20/1/17,10
Donald Trump,Adults,1/29/2017,42.42076,47.58598,37.25555,41.6069,46.77211,36.44168,29/1/17,20/1/17,9
Donald Trump,Adults,1/28/2017,42.51997,47.66774,37.37219,41.19157,46.33934,36.04379,28/1/17,20/1/17,8
Donald Trump,Adults,1/27/2017,43.08089,48.21475,37.94702,40.57829,45.71215,35.44442,27/1/17,20/1/17,7
Donald Trump,Adults,1/26/2017,43.21775,48.34188,38.09363,39.85699,44.98112,34.73286,26/1/17,20/1/17,6
Donald Trump,Adults,1/25/2017,45.59516,51.48944,39.70088,45.19996,51.09425,39.30568,25/1/17,20/1/17,5
Donald Trump,Adults,1/24/2017,45,50.98562,39.01438,45.74659,51.73221,39.76097,24/1/17,20/1/17,4
Donald Trump,Adults,1/23/2017,45,51.1347,38.8653,45,51.1347,38.8653,23/1/17,20/1/17,3
